phu_location_key,phu_location_id,phu_name,address,city,postal_code,province,url,longitude,latitude
1,2251,Ottawa Public Health,100 Constellation Drive,Ottawa,K2G 6J8,Ontario,www.ottawapublichealth.ca,-75.7639122,45.3456651
2,3895,Toronto Public Health,"277 Victoria Street, 5th Floor",Toronto,M5B 1W2,Ontario,www.toronto.ca/community-people/health-wellness-care/,-79.37935801,43.65659125
