date_key,date,day,month,day_num_of_week,week_num_of_year,weekend,holiday,season
20210123,01/23/2021,23,1,6,3,y,n,Winter
20210124,01/24/2021,24,1,7,3,y,n,Winter
20210125,01/25/2021,25,1,1,4,n,n,Winter
20210126,01/26/2021,26,1,2,4,n,n,Winter
20210127,01/27/2021,27,1,3,4,n,n,Winter
20210128,01/28/2021,28,1,4,4,n,n,Winter
20210129,01/29/2021,29,1,5,4,y,n,Winter
20210130,01/30/2021,30,1,6,4,y,n,Winter
20210131,01/31/2021,31,1,7,4,y,n,Winter
20210201,02/01/2021,1,2,1,5,n,n,Winter
20210202,02/02/2021,2,2,2,5,n,n,Winter
20210203,02/03/2021,3,2,3,5,n,n,Winter
20210204,02/04/2021,4,2,4,5,n,n,Winter
20210205,02/05/2021,5,2,5,5,y,n,Winter
20210206,02/06/2021,6,2,6,5,y,n,Winter
20210207,02/07/2021,7,2,7,5,y,y,Winter
20210208,02/08/2021,8,2,1,6,n,n,Winter
20210209,02/09/2021,9,2,2,6,n,n,Winter
20210210,02/10/2021,10,2,3,6,n,n,Winter
20210211,02/11/2021,11,2,4,6,n,n,Winter
20210212,02/12/2021,12,2,5,6,y,n,Winter
20210213,02/13/2021,13,2,6,6,y,n,Winter
20210214,02/14/2021,14,2,7,6,y,n,Winter
20210215,02/15/2021,15,2,1,7,n,y,Winter
20210216,02/16/2021,16,2,2,7,n,n,Winter
